flight_id,flight_date,terminal,aircraft_type,arrival_time,scheduled_turnaround_min,actual_turnaround_min,delay_minutes,departure_time
FL00048,2024-09-13,T3,A320,02:46:00,45,68,23,03:54:00
FL00049,2024-11-20,T3,B737,21:37:00,50,57,7,22:34:00
FL00050,2024-09-01,T3,A320,06:27:00,55,67,12,07:34:00
FL00051,2024-03-26,T2,B737,10:00:00,55,68,13,11:08:00
FL00052,2024-03-11,T2,A321,05:15:00,45,43,0,05:58:00
FL00053,2024-09-25,T1,A321,00:13:00,45,68,23,01:21:00
FL00054,2024-06-28,T1,A321,04:01:00,55,79,24,05:20:00
FL00055,2024-10-05,T3,B737,12:56:00,45,67,22,14:03:00
FL00056,2024-05-28,T1,B787,22:49:00,50,48,0,23:37:00
FL00057,2024-01-06,T2,B737,09:24:00,50,65,15,10:29:00
FL00058,2024-05-27,T1,A321,14:57:00,50,46,0,15:43:00
FL00059,2024-11-27,T1,B787,22:43:00,45,48,3,23:31:00
FL00060,2024-06-16,T2,A321,01:31:00,40,59,19,02:30:00
FL00061,2024-01-09,T3,B737,23:10:00,55,58,3,00:08:00
FL00062,2024-06-26,T3,B787,15:55:00,50,65,15,17:00:00
FL00063,2024-10-10,T1,B737,08:28:00,40,38,0,09:06:00
FL00064,2024-04-25,T2,B737,12:55:00,40,50,10,13:45:00
FL00065,2024-04-05,T2,B737,00:34:00,50,69,19,01:43:00
FL00066,2024-11-26,T1,B787,03:25:00,50,52,2,04:17:00
FL00067,2024-12-09,T3,A321,18:24:00,40,41,1,19:05:00
FL00068,2024-02-25,T3,A321,23:31:00,50,74,24,00:45:00
FL00069,2024-07-25,T3,B787,17:05:00,40,47,7,17:52:00
FL00070,2024-04-14,T2,A320,17:01:00,40,39,0,17:40:00
FL00071,2024-02-04,T2,B787,23:33:00,45,47,2,00:20:00
FL00072,2024-07-27,T2,A320,09:25:00,40,55,15,10:20:00
FL00073,2024-10-07,T3,B737,18:49:00,45,41,0,19:30:00
FL00074,2024-12-20,T1,A321,11:42:00,45,55,10,12:37:00
FL00075,2024-05-26,T2,B737,06:41:00,50,66,16,07:47:00
FL00076,2024-10-13,T2,A320,12:09:00,55,76,21,13:25:00
FL00077,2024-03-21,T1,B787,02:41:00,50,62,12,03:43:00
FL00078,2024-02-19,T3,B737,03:21:00,55,77,22,04:38:00
FL00079,2024-03-27,T2,B787,16:35:00,40,63,23,17:38:00
FL00080,2024-07-09,T3,B787,04:29:00,50,54,4,05:23:00
FL00081,2024-10-29,T2,A320,13:35:00,50,53,3,14:28:00
FL00082,2024-01-01,T2,B787,21:34:00,50,59,9,22:33:00
FL00083,2024-05-17,T1,A320,07:35:00,50,67,17,08:42:00
FL00084,2024-05-15,T1,B787,21:15:00,40,37,0,21:52:00
FL00085,2024-12-27,T1,B787,16:56:00,55,64,9,18:00:00
FL00086,2024-06-02,T1,B787,04:55:00,55,62,7,05:57:00
FL00087,2024-06-10,T3,A321,11:59:00,45,65,20,13:04:00
FL00088,2024-01-19,T3,B787,05:37:00,45,63,18,06:40:00
FL00089,2024-11-23,T3,B737,14:38:00,45,40,0,15:18:00
FL00090,2024-08-30,T1,A321,17:56:00,50,59,9,18:55:00
FL00091,2024-05-08,T2,A320,13:11:00,55,58,3,14:09:00
FL00092,2024-06-24,T3,B787,03:36:00,50,51,1,04:27:00
FL00093,2024-10-06,T1,A320,12:43:00,55,75,20,13:58:00
FL00094,2024-03-24,T1,B737,03:07:00,40,52,12,03:59:00
FL00095,2024-08-09,T1,B737,06:19:00,55,57,2,07:16:00
FL00096,2024-11-20,T3,B737,08:12:00,45,54,9,09:06:00
FL00097,2024-05-24,T2,B737,17:44:00,40,48,8,18:32:00
FL00098,2024-04-15,T3,B787,19:40:00,55,71,16,20:51:00
FL00099,2024-11-20,T1,A320,00:14:00,45,45,0,00:59:00
FL00100,2024-01-11,T1,A320,01:04:00,40,48,8,01:52:00
FL00101,2024-06-14,T1,A320,08:40:00,40,38,0,09:18:00
FL00102,2024-07-14,T3,A321,22:47:00,40,55,15,23:42:00
FL00103,2024-08-18,T2,A321,19:12:00,45,55,10,20:07:00
FL00104,2024-05-26,T3,B787,10:47:00,50,58,8,11:45:00
FL00105,2024-12-24,T1,A321,18:06:00,45,64,19,19:10:00
FL00106,2024-08-25,T1,B737,19:22:00,55,72,17,20:34:00
FL00107,2024-01-13,T1,B787,09:52:00,50,72,22,11:04:00
FL00108,2024-08-06,T3,B787,06:31:00,40,51,11,07:22:00
FL00109,2024-09-13,T3,B787,06:58:00,45,55,10,07:53:00
FL00110,2024-01-02,T3,A320,04:48:00,50,46,0,05:34:00
FL00111,2024-07-28,T1,A321,06:18:00,45,40,0,06:58:00
FL00112,2024-12-30,T3,B737,03:50:00,45,54,9,04:44:00
FL00113,2024-08-12,T2,B787,16:57:00,55,58,3,17:55:00
FL00114,2024-07-12,T2,B737,00:40:00,45,52,7,01:32:00
FL00115,2024-07-14,T2,B787,17:31:00,40,60,20,18:31:00
FL00116,2024-09-16,T3,B737,02:14:00,50,61,11,03:15:00
FL00117,2024-02-26,T1,A320,03:20:00,40,37,0,03:57:00
FL00118,2024-04-22,T1,B737,12:59:00,55,77,22,14:16:00
FL00119,2024-07-31,T1,A321,15:29:00,55,55,0,16:24:00
FL00120,2024-10-05,T1,B737,17:36:00,55,71,16,18:47:00
FL00121,2024-08-31,T1,B787,17:51:00,55,58,3,18:49:00
FL00122,2024-04-26,T3,B787,08:22:00,50,53,3,09:15:00
FL00123,2024-03-27,T2,A320,06:46:00,55,69,14,07:55:00
FL00124,2024-09-19,T3,A320,13:24:00,40,51,11,14:15:00
FL00125,2024-10-26,T1,B787,01:38:00,45,65,20,02:43:00
FL00126,2024-04-22,T3,B787,11:23:00,40,43,3,12:06:00
FL00127,2024-06-12,T3,B737,12:05:00,45,41,0,12:46:00
FL00128,2024-01-04,T3,B787,16:00:00,50,59,9,16:59:00
FL00129,2024-04-27,T1,A320,10:12:00,50,54,4,11:06:00
FL00130,2024-01-23,T1,A320,10:42:00,55,59,4,11:41:00
FL00131,2024-08-20,T1,A321,17:08:00,45,69,24,18:17:00
FL00132,2024-03-30,T3,A321,20:41:00,45,43,0,21:24:00
FL00133,2024-09-11,T3,B787,08:22:00,55,56,1,09:18:00
FL00134,2024-04-01,T2,B737,12:46:00,40,36,0,13:22:00
FL00135,2024-06-03,T2,B787,06:37:00,40,43,3,07:20:00
FL00136,2024-11-02,T1,A320,14:30:00,40,39,0,15:09:00
FL00137,2024-04-24,T2,A320,13:14:00,50,54,4,14:08:00
FL00138,2024-07-25,T1,A320,06:32:00,45,48,3,07:20:00
FL00139,2024-03-21,T1,B787,03:26:00,50,69,19,04:35:00
FL00140,2024-04-12,T3,B787,17:18:00,45,47,2,18:05:00
FL00141,2024-03-20,T2,A321,14:51:00,45,42,0,15:33:00
FL00142,2024-04-12,T1,A320,14:23:00,55,74,19,15:37:00
FL00143,2024-08-27,T1,A321,12:22:00,50,63,13,13:25:00
FL00144,2024-09-21,T2,A320,21:04:00,40,59,19,22:03:00
FL00145,2024-02-02,T2,A321,09:23:00,40,52,12,10:15:00
FL00146,2024-02-04,T2,B787,17:00:00,50,58,8,17:58:00
FL00147,2024-09-05,T2,B737,01:35:00,55,76,21,02:51:00
FL00148,2024-02-19,T2,B737,08:04:00,45,50,5,08:54:00
FL00149,2024-10-06,T2,A320,23:50:00,50,67,17,00:57:00
FL00150,2024-08-29,T2,B787,03:50:00,40,61,21,04:51:00
FL00151,2024-05-31,T1,A320,12:28:00,55,51,0,13:19:00
FL00152,2024-05-26,T3,A321,19:54:00,45,60,15,20:54:00
FL00153,2024-02-08,T1,B787,09:00:00,55,51,0,09:51:00
FL00154,2024-07-07,T1,A321,17:39:00,50,59,9,18:38:00
FL00155,2024-01-25,T3,A321,08:44:00,40,58,18,09:42:00
FL00156,2024-08-31,T3,A320,19:43:00,45,68,23,20:51:00
FL00157,2024-08-10,T3,A321,21:06:00,55,67,12,22:13:00
FL00158,2024-08-17,T2,A320,18:29:00,50,60,10,19:29:00
FL00159,2024-06-01,T2,A321,09:37:00,50,69,19,10:46:00
FL00160,2024-10-14,T2,A320,11:21:00,40,36,0,11:57:00
FL00161,2024-04-17,T1,A321,09:16:00,50,57,7,10:13:00
FL00162,2024-02-02,T3,A321,16:52:00,55,69,14,18:01:00
FL00163,2024-12-28,T3,A321,10:45:00,50,51,1,11:36:00
FL00164,2024-04-20,T1,A320,13:15:00,50,53,3,14:08:00
FL00165,2024-04-30,T2,B787,17:31:00,55,68,13,18:39:00
FL00166,2024-01-16,T3,B737,22:43:00,50,46,0,23:29:00
FL00167,2024-08-14,T1,B737,22:34:00,40,56,16,23:30:00
FL00168,2024-01-11,T2,A320,22:51:00,45,40,0,23:31:00
FL00169,2024-07-21,T1,A320,20:54:00,45,60,15,21:54:00
FL00170,2024-07-20,T2,B737,03:09:00,50,52,2,04:01:00
FL00171,2024-04-07,T1,B787,20:48:00,40,53,13,21:41:00
FL00172,2024-04-25,T2,B787,23:28:00,50,65,15,00:33:00
FL00173,2024-10-07,T1,B737,23:20:00,50,53,3,00:13:00
FL00174,2024-12-14,T1,A321,21:46:00,50,45,0,22:31:00
FL00175,2024-08-19,T1,A321,10:32:00,50,69,19,11:41:00
FL00176,2024-04-20,T1,A320,10:27:00,45,56,11,11:23:00
FL00177,2024-12-17,T3,B737,16:12:00,50,73,23,17:25:00
FL00178,2024-01-12,T3,B737,21:22:00,50,64,14,22:26:00
FL00179,2024-01-21,T3,A320,23:02:00,50,61,11,00:03:00
FL00180,2024-05-06,T3,B787,11:49:00,45,63,18,12:52:00
FL00181,2024-10-11,T1,B787,23:54:00,40,41,1,00:35:00
FL00182,2024-04-30,T3,B737,10:48:00,40,37,0,11:25:00
FL00183,2024-05-03,T3,A321,05:17:00,40,50,10,06:07:00
FL00184,2024-02-02,T1,B737,20:48:00,40,55,15,21:43:00
FL00185,2024-06-18,T3,B737,20:57:00,40,36,0,21:33:00
FL00186,2024-03-17,T3,A321,11:23:00,55,75,20,12:38:00
FL00187,2024-10-23,T2,B737,11:03:00,50,49,0,11:52:00
FL00188,2024-11-25,T3,B787,23:17:00,50,49,0,00:06:00
FL00189,2024-03-03,T2,B787,20:56:00,40,43,3,21:39:00
FL00190,2024-09-26,T3,A321,18:56:00,55,64,9,20:00:00
FL00191,2024-08-03,T1,B787,07:21:00,45,60,15,08:21:00
FL00192,2024-07-08,T3,A321,09:23:00,55,76,21,10:39:00
FL00193,2024-03-15,T1,A321,21:31:00,50,60,10,22:31:00
FL00194,2024-06-22,T3,B737,23:29:00,40,52,12,00:21:00
FL00195,2024-03-07,T3,A321,23:30:00,55,68,13,00:38:00
FL00196,2024-04-02,T1,B787,18:56:00,45,45,0,19:41:00
FL00197,2024-02-22,T1,B787,15:51:00,40,61,21,16:52:00
FL00198,2024-04-03,T1,A320,18:24:00,45,56,11,19:20:00
FL00199,2024-04-22,T1,B787,11:38:00,40,56,16,12:34:00
FL00200,2024-08-16,T2,B737,01:52:00,50,65,15,02:57:00
FL00201,2024-09-06,T2,A321,00:01:00,40,48,8,00:49:00
FL00202,2024-07-27,T1,B787,10:41:00,40,50,10,11:31:00
FL00203,2024-06-30,T2,A320,03:39:00,40,36,0,04:15:00
FL00204,2024-09-23,T3,A320,14:14:00,40,52,12,15:06:00
FL00205,2024-10-07,T3,A321,20:48:00,55,67,12,21:55:00
FL00206,2024-06-03,T3,B787,06:24:00,55,52,0,07:16:00
FL00207,2024-03-23,T2,B787,23:46:00,55,63,8,00:49:00
FL00208,2024-07-04,T2,A320,19:13:00,40,60,20,20:13:00
FL00209,2024-12-14,T3,B787,17:56:00,45,57,12,18:53:00
FL00210,2024-05-18,T1,B787,12:09:00,55,68,13,13:17:00
FL00211,2024-02-24,T3,A321,23:59:00,50,69,19,01:08:00
FL00212,2024-01-19,T2,B787,04:06:00,55,52,0,04:58:00
FL00213,2024-12-13,T3,B787,13:55:00,55,56,1,14:51:00
FL00214,2024-12-11,T3,A320,03:22:00,50,47,0,04:09:00
FL00215,2024-09-23,T2,B737,20:07:00,50,50,0,20:57:00
FL00216,2024-05-21,T2,B787,02:02:00,45,64,19,03:06:00
FL00217,2024-11-11,T2,A321,06:40:00,40,46,6,07:26:00
FL00218,2024-06-12,T2,A320,12:46:00,50,66,16,13:52:00
FL00219,2024-09-08,T3,A320,04:53:00,45,55,10,05:48:00
FL00220,2024-08-19,T2,A321,04:39:00,40,54,14,05:33:00
FL00221,2024-10-23,T1,B737,14:43:00,50,49,0,15:32:00
FL00222,2024-12-28,T2,B787,03:17:00,45,68,23,04:25:00
FL00223,2024-02-29,T2,B787,16:21:00,45,63,18,17:24:00
FL00224,2024-01-22,T3,A321,12:31:00,55,60,5,13:31:00
FL00225,2024-05-05,T1,A320,02:23:00,50,57,7,03:20:00
FL00226,2024-04-12,T1,A321,10:08:00,40,46,6,10:54:00
FL00227,2024-08-08,T1,B737,20:24:00,45,63,18,21:27:00
FL00228,2024-04-19,T2,A320,19:07:00,55,78,23,20:25:00
FL00229,2024-02-27,T3,B737,03:06:00,45,55,10,04:01:00
FL00230,2024-03-05,T3,B737,22:29:00,40,49,9,23:18:00
FL00231,2024-02-27,T2,A320,07:43:00,45,46,1,08:29:00
FL00232,2024-06-06,T1,B737,22:52:00,55,77,22,00:09:00
FL00233,2024-03-16,T1,A320,10:59:00,40,62,22,12:01:00
FL00234,2024-01-19,T3,B737,12:43:00,50,71,21,13:54:00
FL00235,2024-07-08,T2,B737,15:54:00,55,54,0,16:48:00
FL00236,2024-09-06,T1,A320,06:42:00,40,47,7,07:29:00
FL00237,2024-12-25,T2,B737,22:49:00,45,54,9,23:43:00
FL00238,2024-12-28,T3,B737,02:26:00,55,58,3,03:24:00
FL00239,2024-03-19,T2,B787,19:31:00,40,51,11,20:22:00
FL00240,2024-03-24,T2,B737,14:23:00,40,38,0,15:01:00
FL00241,2024-06-20,T2,A321,08:08:00,55,63,8,09:11:00
FL00242,2024-07-30,T2,B737,15:28:00,40,61,21,16:29:00
FL00243,2024-05-28,T1,A321,09:10:00,40,44,4,09:54:00
FL00244,2024-01-10,T3,A320,05:37:00,45,62,17,06:39:00
FL00245,2024-01-30,T1,A320,14:31:00,50,73,23,15:44:00
FL00246,2024-10-06,T1,B787,10:40:00,50,49,0,11:29:00
FL00247,2024-02-24,T1,A320,07:52:00,55,77,22,09:09:00
FL00248,2024-12-25,T1,A321,02:30:00,55,61,6,03:31:00
FL00249,2024-05-06,T3,A320,23:58:00,40,47,7,00:45:00
FL00250,2024-06-28,T3,A320,22:01:00,50,48,0,22:49:00
FL00251,2024-08-19,T1,B737,04:22:00,45,66,21,05:28:00
FL00252,2024-04-02,T2,A321,02:23:00,45,52,7,03:15:00
FL00253,2024-01-08,T2,A321,05:45:00,50,49,0,06:34:00
FL00254,2024-09-03,T2,A321,10:23:00,55,50,0,11:13:00
FL00255,2024-11-26,T2,A320,16:56:00,50,48,0,17:44:00
FL00256,2024-07-14,T2,A321,14:40:00,55,79,24,15:59:00
FL00257,2024-06-11,T3,A320,00:01:00,45,40,0,00:41:00
FL00258,2024-02-09,T2,A320,14:56:00,40,62,22,15:58:00
FL00259,2024-09-10,T3,B787,22:07:00,40,52,12,22:59:00
FL00260,2024-03-25,T2,B787,04:13:00,45,52,7,05:05:00
FL00261,2024-09-28,T2,A320,07:32:00,50,69,19,08:41:00
FL00262,2024-03-18,T1,A320,17:40:00,50,65,15,18:45:00
FL00263,2024-07-31,T1,B737,19:43:00,50,59,9,20:42:00
FL00264,2024-10-30,T1,B787,16:54:00,50,53,3,17:47:00
FL00265,2024-09-11,T3,A321,00:08:00,50,53,3,01:01:00
FL00266,2024-03-31,T3,B787,20:56:00,55,59,4,21:55:00
FL00267,2024-07-11,T1,B787,18:42:00,50,65,15,19:47:00
FL00268,2024-09-09,T1,B787,13:35:00,50,47,0,14:22:00
FL00269,2024-10-04,T2,A321,03:27:00,50,48,0,04:15:00
FL00270,2024-05-22,T3,A320,19:14:00,40,39,0,19:53:00
FL00271,2024-08-31,T2,B787,06:43:00,40,46,6,07:29:00
FL00272,2024-07-30,T2,B787,02:31:00,50,71,21,03:42:00
FL00273,2024-07-13,T1,A320,00:53:00,50,50,0,01:43:00
FL00274,2024-09-26,T2,A320,19:03:00,55,55,0,19:58:00
FL00275,2024-11-24,T2,B737,10:27:00,40,58,18,11:25:00
FL00276,2024-01-19,T1,B787,09:46:00,45,63,18,10:49:00
FL00277,2024-02-09,T1,A320,01:43:00,40,42,2,02:25:00
FL00278,2024-04-07,T2,A321,04:13:00,50,63,13,05:16:00
FL00279,2024-01-04,T2,A321,20:50:00,40,54,14,21:44:00
FL00280,2024-02-02,T2,B737,18:55:00,50,64,14,19:59:00
FL00281,2024-10-25,T3,B787,08:29:00,40,62,22,09:31:00
FL00282,2024-06-13,T2,A320,01:38:00,40,45,5,02:23:00
FL00283,2024-01-27,T1,A321,02:32:00,40,45,5,03:17:00
FL00284,2024-06-21,T2,B737,15:13:00,50,71,21,16:24:00
FL00285,2024-12-02,T3,B787,14:37:00,45,62,17,15:39:00
FL00286,2024-04-22,T2,A321,05:37:00,50,59,9,06:36:00
FL00287,2024-04-04,T3,B737,13:41:00,45,60,15,14:41:00
FL00288,2024-11-14,T3,A320,19:46:00,45,43,0,20:29:00
FL00289,2024-08-20,T1,A321,15:56:00,45,52,7,16:48:00
FL00290,2024-05-13,T2,B787,02:40:00,45,49,4,03:29:00
FL00291,2024-05-03,T3,A321,13:20:00,45,66,21,14:26:00
FL00292,2024-12-16,T2,A320,06:37:00,55,63,8,07:40:00
FL00293,2024-11-18,T3,A320,21:40:00,45,44,0,22:24:00
FL00294,2024-12-18,T1,B737,13:35:00,55,76,21,14:51:00
FL00295,2024-04-25,T1,A320,23:35:00,50,61,11,00:36:00
FL00296,2024-01-13,T2,B787,19:18:00,50,64,14,20:22:00
FL00297,2024-11-15,T2,B787,20:18:00,55,56,1,21:14:00
FL00298,2024-06-13,T2,A321,06:40:00,40,49,9,07:29:00
FL00299,2024-07-26,T2,A321,10:39:00,45,58,13,11:37:00
FL00300,2024-03-25,T2,A320,17:36:00,55,65,10,18:41:00
FL00301,2024-09-04,T3,A320,11:27:00,50,51,1,12:18:00
FL00302,2024-02-25,T2,A320,07:39:00,50,72,22,08:51:00
FL00303,2024-06-20,T3,A320,15:54:00,50,49,0,16:43:00
FL00304,2024-05-20,T3,A321,07:49:00,50,61,11,08:50:00
FL00305,2024-05-11,T3,B787,23:18:00,55,53,0,00:11:00
FL00306,2024-07-19,T2,B737,17:25:00,40,50,10,18:15:00
FL00307,2024-10-15,T1,A321,12:29:00,50,70,20,13:39:00
FL00308,2024-11-04,T1,A321,00:37:00,40,53,13,01:30:00
FL00309,2024-12-22,T2,B787,03:49:00,45,43,0,04:32:00
FL00310,2024-12-10,T2,B737,23:08:00,40,40,0,23:48:00
FL00311,2024-06-27,T2,B787,09:22:00,50,58,8,10:20:00
FL00312,2024-01-29,T3,A320,07:17:00,55,75,20,08:32:00
FL00313,2024-11-02,T1,B737,21:46:00,45,59,14,22:45:00
FL00314,2024-11-01,T1,A321,00:26:00,55,62,7,01:28:00
FL00315,2024-02-05,T1,A320,03:45:00,55,63,8,04:48:00
FL00316,2024-04-18,T1,A320,21:40:00,40,41,1,22:21:00
FL00317,2024-11-11,T3,A320,13:17:00,40,58,18,14:15:00
FL00318,2024-05-25,T2,A320,04:43:00,40,37,0,05:20:00
FL00319,2024-10-02,T3,A320,14:38:00,50,47,0,15:25:00
FL00320,2024-05-25,T2,A320,15:59:00,45,57,12,16:56:00
FL00321,2024-06-16,T2,B737,07:32:00,40,56,16,08:28:00
FL00322,2024-09-13,T1,A320,16:59:00,50,66,16,18:05:00
FL00323,2024-10-01,T1,B737,13:35:00,55,65,10,14:40:00
FL00324,2024-03-27,T2,B737,10:58:00,45,40,0,11:38:00
FL00325,2024-06-02,T2,B787,09:06:00,55,63,8,10:09:00
FL00326,2024-10-11,T1,B787,20:15:00,40,59,19,21:14:00
FL00327,2024-11-10,T1,B737,17:52:00,45,57,12,18:49:00
FL00328,2024-11-14,T1,A320,00:16:00,50,64,14,01:20:00
FL00329,2024-04-07,T1,B787,19:55:00,45,55,10,20:50:00
FL00330,2024-07-29,T1,A320,20:43:00,45,64,19,21:47:00
FL00331,2024-02-17,T3,A320,02:37:00,45,62,17,03:39:00
FL00332,2024-11-13,T3,B787,07:56:00,40,53,13,08:49:00
FL00333,2024-09-30,T3,B787,17:49:00,55,75,20,19:04:00
FL00334,2024-07-12,T1,B787,23:16:00,55,51,0,00:07:00
FL00335,2024-09-08,T2,A320,08:37:00,40,61,21,09:38:00
FL00336,2024-10-09,T2,A321,01:38:00,40,43,3,02:21:00
FL00337,2024-09-18,T1,A321,17:40:00,55,62,7,18:42:00
FL00338,2024-09-18,T3,B787,04:39:00,40,52,12,05:31:00
FL00339,2024-01-31,T2,A320,22:52:00,40,64,24,23:56:00
FL00340,2024-04-14,T1,A321,08:16:00,40,54,14,09:10:00
FL00341,2024-12-15,T3,B787,05:01:00,40,36,0,05:37:00
FL00342,2024-11-07,T3,A320,03:00:00,55,56,1,03:56:00
FL00343,2024-06-17,T3,A320,10:06:00,50,74,24,11:20:00
FL00344,2024-08-23,T3,A320,18:42:00,50,66,16,19:48:00
FL00345,2024-09-30,T3,A320,11:39:00,55,62,7,12:41:00
FL00346,2024-12-08,T3,A320,16:32:00,45,47,2,17:19:00
FL00347,2024-08-17,T3,A320,18:59:00,45,42,0,19:41:00
FL00348,2024-01-23,T3,A320,03:10:00,50,58,8,04:08:00
FL00349,2024-06-12,T3,B787,04:12:00,55,72,17,05:24:00
FL00350,2024-10-07,T3,B787,16:20:00,50,52,2,17:12:00
FL00351,2024-01-07,T1,B737,15:27:00,45,40,0,16:07:00
FL00352,2024-07-28,T2,B787,19:44:00,50,68,18,20:52:00
FL00353,2024-09-09,T1,B787,21:19:00,50,71,21,22:30:00
FL00354,2024-05-12,T2,B737,22:26:00,50,55,5,23:21:00
FL00355,2024-09-30,T1,B787,02:07:00,45,40,0,02:47:00
FL00356,2024-04-15,T2,A321,00:17:00,45,50,5,01:07:00
FL00357,2024-08-19,T2,A321,09:25:00,55,55,0,10:20:00
FL00358,2024-02-02,T2,B787,09:29:00,40,45,5,10:14:00
FL00359,2024-03-19,T1,B787,22:26:00,45,57,12,23:23:00
FL00360,2024-02-04,T2,B787,11:25:00,40,62,22,12:27:00
FL00361,2024-04-19,T3,B787,10:25:00,50,53,3,11:18:00
FL00362,2024-11-16,T2,B737,21:51:00,40,60,20,22:51:00
FL00363,2024-03-03,T1,B737,14:13:00,55,79,24,15:32:00
FL00364,2024-11-23,T1,B787,16:01:00,50,57,7,16:58:00
FL00365,2024-10-23,T3,B787,02:34:00,55,59,4,03:33:00
FL00366,2024-06-26,T2,B737,08:09:00,40,44,4,08:53:00
FL00367,2024-12-29,T1,A321,23:29:00,50,47,0,00:16:00
FL00368,2024-08-19,T2,A320,13:04:00,45,43,0,13:47:00
FL00369,2024-04-13,T3,B787,18:47:00,40,44,4,19:31:00
FL00370,2024-10-20,T3,A321,23:36:00,40,55,15,00:31:00
FL00371,2024-02-04,T1,A320,04:05:00,50,63,13,05:08:00
FL00372,2024-07-12,T2,A320,19:59:00,50,67,17,21:06:00
FL00373,2024-06-22,T3,A321,17:42:00,55,67,12,18:49:00
FL00374,2024-04-11,T3,B787,12:38:00,45,46,1,13:24:00
FL00375,2024-11-19,T1,A320,08:57:00,40,55,15,09:52:00
FL00376,2024-10-19,T3,B787,15:20:00,45,64,19,16:24:00
FL00377,2024-03-25,T1,B787,06:47:00,45,69,24,07:56:00
FL00378,2024-07-19,T3,A321,08:44:00,45,41,0,09:25:00
FL00379,2024-06-21,T3,B737,13:47:00,50,69,19,14:56:00
FL00380,2024-01-29,T1,B787,15:02:00,45,48,3,15:50:00
FL00381,2024-10-23,T1,B737,00:35:00,55,57,2,01:32:00
FL00382,2024-02-25,T2,A321,11:24:00,45,60,15,12:24:00
FL00383,2024-01-16,T3,A321,00:19:00,50,47,0,01:06:00
FL00384,2024-05-19,T2,A321,05:20:00,50,56,6,06:16:00
FL00385,2024-03-06,T2,A321,08:31:00,45,67,22,09:38:00
